"uid","Intervention","Intervention Provider","Target Population","Target Population Location","Discipline","Research Stage","Outcome Measures"
"scopus-2-s2.0-85105833609","Data quality checks / feedback","Unspecified","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-85105871434","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Europe","Natural sciences; Engineering and technology","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85105980959","Metadata repository","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Germany","Biomedical and health sciences","Conduct stage; Reporting stage","Data availability and re-use"
"scopus-2-s2.0-85106332411","Other peer review process","Organisation","Researchers / Researcher Collaboration","England","Social sciences","Conduct stage","Reporting quality"
"scopus-2-s2.0-85106545129","Workflow standardisation","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","United States","Biomedical and health sciences","Conduct stage; Reporting stage","Reporting quality"
"scopus-2-s2.0-85107780422","Workflow standardisation","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Engineering and technology","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85109057550","Online sharing platform","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85109063546","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Europe","Biomedical and health sciences","Conduct stage","Computational reproducibility; Effect size estimation"
"scopus-2-s2.0-85110436213","Unspecified","Unspecified","Researchers / Researcher Collaboration","Germany","Social sciences","Unspecified","Trust in science"
"scopus-2-s2.0-85110712292","Open Science Framework","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Data availability and re-use; Code / analysis availability and re-use"
"scopus-2-s2.0-85111034047","Open-source software","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Canada; Germany","Agricultural and veterinary sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85111142239","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration; Policy makers; Practitioners","United States","Social sciences","Planning and design stage; Conduct stage","Effect size estimation"
"scopus-2-s2.0-85111382580","Data quality checks / feedback","Institution","Researchers / Researcher Collaboration","Singapore","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85111662745","Other quality checks / feedback","Researchers / Researcher Collaboration","Patients","Unspecified","Biomedical and health sciences","Conduct stage; Reporting stage","Effect size estimation; Reporting quality"
"scopus-2-s2.0-85112307693","Data quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Data quality checks / feedback"
"scopus-2-s2.0-85112482659","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85112590950","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85113135575","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Reporting quality"
"scopus-2-s2.0-85113286065","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Engineering and technology; Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85115731423","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85115768439","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-85117294613","Other reporting guidelines, checklists, or standards","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-85117330496","Data sharing policy/guideline","Institution","Researchers / Researcher Collaboration","Netherlands","Social sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85117386810","Research integrity training","Institution","Students","Unspecified","Natural sciences; Biomedical and health sciences; Social sciences","Conduct stage","Knowledge; Attitude; Behaviour"
"scopus-2-s2.0-85117481870","Systematic evidence synthesis","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Natural sciences; Biomedical and health sciences; Agricultural and veterinary sciences","Planning and design stage; Conduct stage; Reporting stage","Data availability and re-use; Reporting quality"
"scopus-2-s2.0-85117585209","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Engineering and technology","Conduct stage","Data availability and re-use; Data quality checks / feedback"
"scopus-2-s2.0-85118362299","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85118431713","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality; Computational reproducibility"
"scopus-2-s2.0-85118537351","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85118973449","Other peer review process","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality; Reporting bias"
"scopus-2-s2.0-85119590312","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Planning and design stage; Conduct stage","Effect size estimation; Reporting quality"
"scopus-2-s2.0-85119914137","Data access policies / agreements","Institution","Students; Researchers / Researcher Collaboration","Unspecified","Social sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85120050006","Other peer review process","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting bias"
"scopus-2-s2.0-85120165420","Electronic lab notebooks","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Germany","Biomedical and health sciences","Conduct stage","Data availability and re-use; Materials availability and re-use"
"scopus-2-s2.0-85121661886","Other reporting guidelines, checklists, or standards","Government","Organisation","Germany","Social sciences","Reporting stage","Effect size estimation"
"scopus-2-s2.0-85121949502","Open access publication","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage; Reporting stage","Data availability and re-use; Computational reproducibility"
"scopus-2-s2.0-85121953113","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85122005199","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85122079057","Data access policies / agreements","Organisation","Organisation","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85122271050","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-85122307774","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85122989667","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85123018867","Open data sharing","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Europe","Biomedical and health sciences","Planning and design stage; Conduct stage; Reporting stage","Data availability and re-use; Reporting quality"
"scopus-2-s2.0-85123238081","Open-source workflow","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Natural sciences; Engineering and technology; Biomedical and health sciences; Agricultural and veterinary sciences; Social sciences","Planning and design stage; Conduct stage; Reporting stage","Data availability and re-use; Code / analysis availability and re-use; Computational reproducibility"
"scopus-2-s2.0-85123473750","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Research support staff","Unspecified","Humanities and the arts","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85123476871","Data access policies / agreements","Organisation","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85123607830","Data sharing policy/guideline; Materials sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage; Reporting stage","Data availability and re-use; Materials availability and re-use; Computational reproducibility"
"scopus-2-s2.0-85123734741","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Reporting quality; Computational reproducibility"
"scopus-2-s2.0-85124287373","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85124613452","Other quality checks / feedback","Institution","Students","Unspecified","Humanities and the arts","Conduct stage","Effect size estimation"
"scopus-2-s2.0-85124685829","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Transparency of evaluation"
"scopus-2-s2.0-85124803309","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Patients","United States","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85125746606","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Japan","Social sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85126318499","CONSORT guidelines","Unspecified","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality; Data availability and re-use"
"scopus-2-s2.0-85126854438","Resource sharing; Information sharing","Organisation","Organisation","Taiwan","Social sciences","Assessment","Effect size estimation"
"scopus-2-s2.0-85127076837","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Planning and design stage; Conduct stage","Type-I error reduction; Type-II error reduction; Reporting quality"
"scopus-2-s2.0-85127456354","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85127522981","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Engineering and technology; Biomedical and health sciences; Social sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85127772091","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","United States","Social sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85128304863","Data sharing policy/guideline","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85128390167","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Conduct stage","Effect size estimation"
"scopus-2-s2.0-85128492468","FAIR principles","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Engineering and technology; Biomedical and health sciences; Agricultural and veterinary sciences; Social sciences","Assessment","Data availability and re-use"
"scopus-2-s2.0-85128861821","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Planning and design stage; Conduct stage","Effect size estimation"
"scopus-2-s2.0-85129371383","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Engineering and technology","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85129491750","PRISMA guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-85130609219","Other reporting guidelines, checklists, or standards","Organisation","Students","Cambodia; Uganda; Zimbabwe","Social sciences","Conduct stage; Reporting stage","Learning outcomes"
"scopus-2-s2.0-85131718884","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85132034626","Other quality checks / feedback","Publisher / journal","Commercial companies","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use; Data quality checks / feedback"
"scopus-2-s2.0-85132817415","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85135113560","Data sharing policy/guideline","Organisation","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85135233211","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85135365404","Data sharing policy/guideline","Unspecified","Researchers / Researcher Collaboration","Unspecified","Humanities and the arts","Reporting stage","Data availability and re-use; Reporting quality"
"scopus-2-s2.0-85135721701","Other peer review process","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Social sciences","Reporting stage","Reporting quality; Citation impact"
"scopus-2-s2.0-85135751644","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85136005299","Data access policies / agreements","Researchers / Researcher Collaboration","Healthcare consumers","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85136563203","Data access policies / agreements","Unspecified","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85136853630","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85137327204","Game-based learning","Researchers / Researcher Collaboration","Students","France","Social sciences","Conduct stage","Effect size estimation"
"scopus-2-s2.0-85138308936","Data sharing policy/guideline","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Reporting stage","Data availability and re-use; Reporting quality"
"scopus-2-s2.0-85139570551","Unspecified","Unspecified","Researchers / Researcher Collaboration","Unspecified","Social sciences","Unspecified","Unspecified"
"scopus-2-s2.0-85139837588","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology; Natural sciences","Conduct stage","Data availability and re-use; Computational reproducibility"
"scopus-2-s2.0-85140462031","Data sharing policy/guideline","Publisher / journal","Participants","Unspecified","Social sciences","Conduct stage","Data availability and re-use; Privacy concerns"
"scopus-2-s2.0-85140472591","Ethics training","Institution","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Transparency of interests"
"scopus-2-s2.0-85140623966","Other peer review process","Organisation","Organisation","South Africa","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85141253291","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Humanities and the arts","Conduct stage; Reporting stage","Data availability and re-use; Computational reproducibility"
"scopus-2-s2.0-85141942519","Other peer review process","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Conduct stage","Effect size estimation"
"scopus-2-s2.0-85142209776","Pre-registration","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Planning and design stage","Reporting bias"
"scopus-2-s2.0-85142348038","Registered reports","Unspecified","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85143291729","Training community","Institution","Students","United States","Biomedical and health sciences","Conduct stage","Transparency of contributions"
"scopus-2-s2.0-85143296083","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85144038867","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use; Privacy protection"
"scopus-2-s2.0-85144599100","Data sharing policy/guideline","Unspecified","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85144670424","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Peru","Natural sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85145392063","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Ireland","Agricultural and veterinary sciences","Conduct stage","Data availability and re-use; Privacy protection"
"scopus-2-s2.0-85147430919","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85149441157","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85149928217","Documentation system","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Engineering and technology","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85150249736","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Conduct stage","Computational reproducibility; Effect size estimation"
"scopus-2-s2.0-85150869048","Data management training","Institution","Students","Unspecified","Natural sciences; Engineering and technology; Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85150963452","Blockchain technology","Researchers / Researcher Collaboration","Institution","Unspecified","Social sciences","Conduct stage","Data quality checks / feedback; Data availability and re-use"
"scopus-2-s2.0-85151045539","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85151301156","Data sharing policy/guideline; Code sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use; Code / analysis availability and re-use"
"scopus-2-s2.0-85151861619","Training community","Institution","Teachers","Saudi Arabia","Natural sciences; Social sciences","Conduct stage","Unspecified"
"scopus-2-s2.0-85153391126","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Effect size estimation; Computational reproducibility"
"scopus-2-s2.0-85156152140","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology; Social sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-85159078838","Open science badges","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Data availability and re-use; Materials availability and re-use; Reporting quality"
"scopus-2-s2.0-85160018260","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Reporting stage","Reporting quality; Data availability and re-use"
"scopus-2-s2.0-85161282953","Blockchain technology","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology; Biomedical and health sciences","Conduct stage","Data availability and re-use; Computational reproducibility"
"scopus-2-s2.0-85161580744","Open science infrastructure","Researchers / Researcher Collaboration","Organisation","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use; Transparency of evaluation"
"scopus-2-s2.0-85162089120","Survey experiment","Researchers / Researcher Collaboration","Citizens","Netherlands","Social sciences","Conduct stage","Transparency of evaluation"
"scopus-2-s2.0-85162159056","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85162650415","Online sharing platform","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Planning and design stage; Conduct stage; Reporting stage","Data availability and re-use; Reporting quality"
"scopus-2-s2.0-85166091802","Data sharing policy/guideline","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Type-I error reduction; Publication bias"
"scopus-2-s2.0-85166969715","Computational reproducibility checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","United States","Natural sciences","Conduct stage; Reporting stage","Computational reproducibility; Reporting quality"
"scopus-2-s2.0-85169032624","Open science practices","Institution","Students","Unspecified","Social sciences","Conduct stage","Transparency of contributions"
"scopus-2-s2.0-85169230576","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Type-I error reduction; Publication bias"
"scopus-2-s2.0-85169804673","Data management training","Institution","Researchers / Researcher Collaboration","Europe","Natural sciences; Engineering and technology; Biomedical and health sciences; Agricultural and veterinary sciences; Social sciences","Planning and design stage; Conduct stage; Reporting stage","Data availability and re-use"
"scopus-2-s2.0-85171179242","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85171292759","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Natural sciences; Biomedical and health sciences","Reporting stage","Reporting quality; Data availability and re-use"
"scopus-2-s2.0-85173022245","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Effect size estimation"
"scopus-2-s2.0-85173909250","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Social sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-85174158882","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Planning and design stage; Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85174307770","Other quality checks / feedback","Institution","Researchers / Researcher Collaboration","Netherlands","Unspecified","Conduct stage","Transparency of contributions"
"scopus-2-s2.0-85174621612","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Conduct stage","Transparency of evaluation"
"scopus-2-s2.0-85175554453","CONSORT guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-85178032624","Data sharing policy/guideline","Researchers / Researcher Collaboration","Organisation","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85178445350","Data management training","Institution","Researchers / Researcher Collaboration","Italy","Biomedical and health sciences","Conduct stage","Transparency of contributions; Reporting quality"
"scopus-2-s2.0-85178482085","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Iraq","Natural sciences","Conduct stage","Effect size estimation"
"scopus-2-s2.0-85179626548","Data sharing policy/guideline","Researchers / Researcher Collaboration","Environmental justice communities","USA","Natural sciences; Social sciences","Outreach","Behavioral change; Environmental action"
"scopus-2-s2.0-85179971761","Data sharing policy/guideline","Government","Researchers / Researcher Collaboration","United States","Social sciences","Conduct stage","Data availability and re-use; Computational reproducibility"
"scopus-2-s2.0-85180246685","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","UK","Social sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85180333846","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Italy","Humanities and the arts","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85180664302","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85180694343","Pre-registration","Institution","Students","United Kingdom","Social sciences","Planning and design stage","Transparency of contributions; Reporting quality"
"scopus-2-s2.0-85181689377","Data access policies / agreements","Government","Institution","Indonesia","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85181826548","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-unknown-accession-1063465","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Computational reproducibility"
"scopus-unknown-accession-1080436","Open code badges; Open data badges","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Natural sciences; Engineering and technology; Agricultural and veterinary sciences","Conduct stage","Computational reproducibility; Data availability and re-use; Code / analysis availability and re-use"
"scopus-unknown-accession-1146705","Data access policies / agreements","Organisation","Researchers / Researcher Collaboration","Europe","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-unknown-accession-1494773","ACMG/AMP guidelines","Learned societies","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-unknown-accession-1561998","Other quality checks / feedback","Researchers / Researcher Collaboration","Organisation","Unspecified","Engineering and technology; Social sciences","Conduct stage","Data availability and re-use"
"scopus-unknown-accession-1570978","Training community","Government","Researchers / Researcher Collaboration","Australia","Social sciences","Outreach","Transparency of contributions"
"scopus-unknown-accession-2179961","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Code / analysis availability and re-use"
"scopus-unknown-accession-2507790","SPIRIT guidelines; CONSORT guidelines; TREND guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Planning and design stage; Conduct stage; Reporting stage","Reporting quality"
"scopus-unknown-accession-2590552","Collaborative conservation initiative","Organisation","Organisation","North America","Natural sciences","Planning and design stage; Conduct stage; Outreach","Effect size estimation; Transparency of contributions"
"scopus-unknown-accession-2635131","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Planning and design stage","Effect size estimation; Reporting quality; Computational reproducibility"
"scopus-unknown-accession-3442307","Antimicrobial stewardship","Institution","Researchers / Researcher Collaboration","United States","Biomedical and health sciences","Conduct stage","Optimize therapy; Avoid unnecessary microbiology workup; Clarify culture reporting"
"scopus-unknown-accession-3698151","Survey methodology","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","United States","Biomedical and health sciences","Conduct stage","Response rate; Response bias; Response time"
"scopus-unknown-accession-437231","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-unknown-accession-4420391","Training community","Unspecified","Organisation","Unspecified","Social sciences","Conduct stage","Reporting quality"
"scopus-unknown-accession-460097","Data access policies / agreements","Unspecified","General public","Unspecified","Social sciences","Unspecified","Transparency of interests; Data availability and re-use"
"scopus-unknown-accession-4844172","Computational reproducibility checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","UK","Biomedical and health sciences","Conduct stage; Reporting stage","Computational reproducibility"
"scopus-unknown-accession-5235547","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Planning and design stage; Conduct stage","Effect size estimation; Type-I error reduction; Type-II error reduction"
"scopus-unknown-accession-5572153","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Planning and design stage; Conduct stage","Effect size estimation; Type-I error reduction; Type-II error reduction"
"scopus-unknown-accession-6751244","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Conduct stage","Effect size estimation"
"scopus-unknown-accession-6959388","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Data availability and re-use"
