"uid","Target Population","Intervention Provider","Discipline","Intervention","Outcome Measures","Research Stage","Target Population Location"
"medline-37011635","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Data availability and re-use","Conduct stage","United States"
"medline-37013585","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Pre-registration; Data sharing policy/guideline; Code sharing policy/guideline; Reporting quality checks / feedback","Type I/II error reduction; Type I/II error reduction; Reporting quality; Publication bias","Planning and design stage; Conduct stage; Reporting stage","Unspecified"
"medline-37018222","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Experimental design","Type I/II error reduction","Conduct stage","Ethiopia"
"medline-37029000","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Computational reproducibility","Conduct stage","Unspecified"
"medline-37053137","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Social sciences","Data sharing policy/guideline","Data availability and re-use; Reporting quality","Reporting stage","Unspecified"
"medline-37056531","Researchers / Researcher Collaboration","Learned societies","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","United Kingdom"
"medline-37063090","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use; Computational reproducibility","Conduct stage; Reporting stage","Global"
"medline-37065227","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Agricultural and veterinary sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","Unspecified"
"medline-37074190","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Computational reproducibility checks / feedback","Computational reproducibility","Conduct stage","Unspecified"
"medline-37074995","Other","Researchers / Researcher Collaboration","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use","Planning and design stage; Conduct stage; Reporting stage","India; South Africa; United Kingdom"
"medline-37075455","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","PRISMA guidelines","Reporting quality","Reporting stage","Brazil"
"medline-37080355","Other","Researchers / Researcher Collaboration","Biomedical and health sciences","Data sharing policy/guideline","Type I/II error reduction","Conduct stage","Unspecified"
"medline-37080901","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Statistical method","Type I/II error reduction","Planning and design stage; Conduct stage","Unspecified"
"medline-37085512","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Biomedical and health sciences; Social sciences","Data sharing policy/guideline","Data availability and re-use; Reporting bias","Conduct stage","Unspecified"
"medline-37087419","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Planning and design stage","Global"
"medline-37094878","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"medline-37099244","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data access policies / agreements","Data availability and re-use","Conduct stage","Global"
"medline-37126512","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Biomedical and health sciences","Experimental design","Computational reproducibility","Conduct stage","Global"
"medline-37131781","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Computational reproducibility","Conduct stage; Reporting stage","Unspecified"
"medline-37134067","Other","Other","Social sciences","Other","Other","Other","Unspecified"
"medline-37137338","Researchers / Researcher Collaboration","Institution","Biomedical and health sciences","Data access policies / agreements","Data availability and re-use","Conduct stage","Netherlands"
"medline-37138211","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"medline-37141274","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Type I/II error reduction; Computational reproducibility","Conduct stage","United States"
"medline-37163336","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","Global"
"medline-37166831","Other","Researchers / Researcher Collaboration","Social sciences","Other","Type I/II error reduction","Conduct stage","Global"
"medline-37167055","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Other","Conduct stage","Unspecified"
"medline-37177517","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Engineering and technology","Data sharing policy/guideline","Data availability and re-use","Conduct stage","Finland"
"medline-37181735","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Workflow standardisation","Computational reproducibility","Conduct stage","Unspecified"
"medline-37184759","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","STARD guidelines","Reporting quality","Reporting stage","Unspecified"
"medline-37186213","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Other quality checks / feedback","Data availability and re-use; Computational reproducibility","Conduct stage","United States"
"medline-37186586","Researchers / Researcher Collaboration; Other","Institution","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use; Computational reproducibility","Conduct stage; Reporting stage","Germany"
"medline-37188815","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use","Conduct stage","Japan; India"
"medline-3719523","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Reporting quality","Assessment","Unspecified"
"medline-37197127","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Reporting quality","Reporting stage","Unspecified"
"medline-37203603","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use; Computational reproducibility","Conduct stage; Reporting stage","Germany"
"medline-37203661","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data quality checks / feedback","Other","Conduct stage","Germany"
"medline-37206994","Researchers / Researcher Collaboration","Institution","Biomedical and health sciences","Centralised sharing platform","Data availability and re-use; Computational reproducibility","Conduct stage; Reporting stage","Uganda"
"medline-37208606","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use; Computational reproducibility","Conduct stage; Reporting stage","Global"
"medline-37211820","Students","Researchers / Researcher Collaboration","Biomedical and health sciences","Open access publication; Data sharing policy/guideline","Data availability and re-use; Reporting quality","Reporting stage","Netherlands"
"medline-37222925","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Social sciences","Data quality checks / feedback","Data availability and re-use","Conduct stage","Unspecified"
"medline-37227772","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Reporting quality checks / feedback; Data sharing policy/guideline","Reporting quality; Data availability and re-use","Planning and design stage; Conduct stage; Reporting stage","Unspecified"
"medline-37233332","Students","Researchers / Researcher Collaboration","Natural sciences","Other quality checks / feedback","Computational reproducibility","Conduct stage","Germany"
"medline-37234027","Students","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Reporting quality","Conduct stage; Reporting stage","Unspecified"
"medline-37245090","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design; Statistical method","Type I/II error reduction","Planning and design stage; Conduct stage","Unspecified"
"medline-37246820","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Workflow standardisation","Computational reproducibility","Conduct stage","Unspecified"
"medline-37253055","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"medline-37279050","Students","Institution","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality; Other","Conduct stage","Croatia"
"medline-37279570","Researchers / Researcher Collaboration","Government; Organisation","Biomedical and health sciences","Data access policies / agreements","Data availability and re-use","Reporting stage","Nigeria"
"medline-37287879","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Other","Transparency of evaluation","Assessment","Unspecified"
"medline-37289758","Other; Other","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Type I/II error reduction; Reporting quality","Conduct stage","Global"
"medline-37294569","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","CONSORT guidelines; SPIRIT guidelines","Reporting quality","Reporting stage","Unspecified"
"medline-37301322","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Workflow standardisation","Computational reproducibility","Conduct stage","Unspecified"
"medline-37307315","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Type I/II error reduction; Type I/II error reduction","Conduct stage; Reporting stage","Unspecified"
"medline-37313387","Researchers / Researcher Collaboration","Institution","Biomedical and health sciences","Other","Data availability and re-use; Reporting quality","Planning and design stage; Conduct stage; Reporting stage","Unspecified"
"medline-37318941","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","Other","Reporting quality","Reporting stage","Unspecified"
"medline-37318960","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Data availability and re-use; Computational reproducibility","Conduct stage","Unspecified"
"medline-37335665","Other","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Type I/II error reduction; Reporting quality","Conduct stage","North America"
"medline-37336552","Other","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Type I/II error reduction","Conduct stage","Unspecified"
"medline-37349754","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"medline-37352259","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Engineering and technology","Other","Other","Conduct stage","Europe"
"medline-37359263","Other","Other","Social sciences","Other","Other","Other","United States"
"medline-37362139","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Social sciences; Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Transparency of evaluation; Reporting quality","Conduct stage; Reporting stage","United States"
"medline-37378","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Computational reproducibility","Conduct stage","Unspecified"
"medline-37383349","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use; Other","Conduct stage","Unspecified"
"medline-37390052","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Agricultural and veterinary sciences","Other","Data availability and re-use","Conduct stage","Canada"
"medline-37399439","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Planning and design stage; Conduct stage; Reporting stage","Unspecified"
"medline-37404336","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Centralised sharing platform","Data availability and re-use; Computational reproducibility","Conduct stage","Unspecified"
"medline-37422702","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","Other","Reporting quality","Reporting stage","Unspecified"
"medline-37436815","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Open science infrastructure","Data availability and re-use; Computational reproducibility","Conduct stage","Unspecified"
"medline-37438058","Researchers / Researcher Collaboration; Other; Other","Government","Biomedical and health sciences","Other peer review process","Other; Other; Other","Planning and design stage; Conduct stage","Germany"
"medline-37444144","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Open science infrastructure","Data availability and re-use; Materials availability and re-use","Planning and design stage; Conduct stage; Reporting stage","Australia"
"medline-37456264","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Data availability and re-use","Conduct stage; Reporting stage","United States"
"medline-37460705","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other; Other","Data availability and re-use; Other","Conduct stage","Canada; Austria"
"medline-37462585","Other","Researchers / Researcher Collaboration","Biomedical and health sciences","Other peer review process","Transparency of evaluation; Reporting quality","Conduct stage","United States"
"medline-37463773","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","Other","Reporting quality","Reporting stage","China; Mexico; Rwanda"
"medline-37468832","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Type I/II error reduction","Conduct stage","Unspecified"
"medline-37471008","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Social sciences","Other quality checks / feedback","Other","Conduct stage","Unspecified"
"medline-37474931","Researchers / Researcher Collaboration","Institution","Biomedical and health sciences","Mentoring / role models","Other; Reporting quality","Conduct stage; Reporting stage","Nigeria"
"medline-37480840","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Online sharing platform","Data availability and re-use","Conduct stage","United States"
"medline-37488136","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Biomedical and health sciences","Computational reproducibility checks / feedback","Computational reproducibility","Conduct stage","Unspecified"
"medline-37492662","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Open science infrastructure","Computational reproducibility","Conduct stage; Reporting stage","Unspecified"
"medline-37497720","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other peer review process","Computational reproducibility","Conduct stage","Unspecified"
"medline-37501549","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use","Planning and design stage; Conduct stage","Unspecified"
"medline-37504344","Other","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Other","Assessment","United States"
"medline-37510417","Other","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Type I/II error reduction; Reporting quality","Conduct stage","Unspecified"
"medline-37512551","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Workflow standardisation","Data availability and re-use; Computational reproducibility","Conduct stage","Unspecified"
"medline-37516747","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use","Conduct stage; Reporting stage","Global"
"medline-37521045","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Engineering and technology","Statistical method","Code / analysis availability and re-use","Conduct stage","Unspecified"
"medline-37526643","Researchers / Researcher Collaboration","Institution","Biomedical and health sciences","Other quality checks / feedback","Other","Conduct stage","Europe"
"medline-37529541","Researchers / Researcher Collaboration","Institution","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use","Conduct stage","Netherlands"
"medline-37529934","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","TRIPOD guidelines","Reporting quality","Reporting stage","Unspecified"
"medline-37535419","Other","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Type I/II error reduction; Reporting quality","Conduct stage","United States"
"medline-37549146","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Social sciences","Code sharing policy/guideline","Code / analysis availability and re-use","Reporting stage","Europe"
"medline-37553195","Other","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Other; Other; Other; Other; Other","Conduct stage; Reporting stage","Switzerland"
"medline-37556085","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Computational reproducibility","Conduct stage","Norway"
"medline-37594783","Other","Other","Biomedical and health sciences","Other","Data availability and re-use; Other; Other; Other; Other; Other; Other; Other; Other; Other","Conduct stage","United States"
"medline-37597189","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Experimental design","Other","Conduct stage","Unspecified"
"medline-37599263","Other","Publisher / journal","Social sciences","Other reporting guidelines, checklists, or standards","Other","Reporting stage","South Korea"
"medline-37603201","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Reporting quality checks / feedback","Reporting quality","Reporting stage","Unspecified"
"medline-37603391","Other","Researchers / Researcher Collaboration","Social sciences","Other reporting guidelines, checklists, or standards","Reporting quality; Data availability and re-use","Conduct stage; Reporting stage","Netherlands"
"medline-37605749","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Other quality checks / feedback","Computational reproducibility","Conduct stage","Unspecified"
"medline-37614078","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Computational reproducibility","Conduct stage","Unspecified"
"medline-37621988","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences; Social sciences","Other quality checks / feedback","Reporting quality","Conduct stage","Tanzania"
"medline-37635947","Other","Researchers / Researcher Collaboration","Biomedical and health sciences","Data sharing policy/guideline","Other; Other; Other; Other","Conduct stage","Unspecified"
"medline-37645331","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Engineering and technology; Agricultural and veterinary sciences","Experimental design","Computational reproducibility","Conduct stage","Unspecified"
"medline-37647639","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Engineering and technology; Biomedical and health sciences","Other quality checks / feedback","Data availability and re-use; Computational reproducibility","Conduct stage","Unspecified"
"medline-37649083","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Planning and design stage; Conduct stage; Reporting stage","Unspecified"
"medline-37651386","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Social sciences; Biomedical and health sciences","Other","Reporting quality","Conduct stage","Unspecified"
"medline-37651482","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Data availability and re-use","Conduct stage","Unspecified"
"medline-37653549","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Engineering and technology; Biomedical and health sciences","Other","Transparency of evaluation","Assessment","Unspecified"
"medline-37661548","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Computational reproducibility","Conduct stage","Unspecified"
"medline-37664306","Researchers / Researcher Collaboration","Institution","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","Unspecified"
"medline-37665391","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Computational reproducibility checks / feedback","Computational reproducibility","Conduct stage","Unspecified"
"medline-37673711","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Other","Planning and design stage","Unspecified"
"medline-37674236","Researchers / Researcher Collaboration","Institution","Biomedical and health sciences","Materials sharing policy/guideline","Materials availability and re-use; Computational reproducibility","Conduct stage","China"
"medline-37684321","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Computational reproducibility; Reporting quality","Conduct stage; Reporting stage","Unspecified"
"medline-37684775","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","Other","Reporting quality","Reporting stage","Korea"
"medline-37695756","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Social sciences","Computational reproducibility checks / feedback","Computational reproducibility","Conduct stage","Unspecified"
"medline-37696825","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Data access policies / agreements","Data availability and re-use","Conduct stage; Reporting stage","Global"
"medline-37702556","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Computational reproducibility","Assessment","Belgium"
"medline-37703605","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use","Conduct stage","Unspecified"
"medline-37713023","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use","Reporting stage","Unspecified"
"medline-37721935","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Other; Other","Conduct stage","Unspecified"
"medline-37729432","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Computational reproducibility","Conduct stage","Unspecified"
"medline-37737283","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Type I/II error reduction","Planning and design stage; Conduct stage","Unspecified"
"medline-37745378","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use; Other","Reporting stage","Global"
"medline-37747733","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Reporting quality; Computational reproducibility","Reporting stage","Unspecified"
"medline-37756321","Other","Government","Biomedical and health sciences","Other; Other","Other","Conduct stage","Bangladesh"
"medline-37770596","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Workflow standardisation","Computational reproducibility; Reporting quality","Conduct stage; Reporting stage","South Africa"
"medline-37772677","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Open science infrastructure","Data availability and re-use; Materials availability and re-use","Conduct stage","Unspecified"
"medline-37781604","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Statistical method","Computational reproducibility","Conduct stage","Unspecified"
"medline-37788265","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Type I/II error reduction; Reporting quality","Conduct stage","Zimbabwe; South Africa"
"medline-37789257","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use","Conduct stage","Unspecified"
"medline-37796524","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","PRISMA guidelines","Reporting quality; Other; Other","Reporting stage","Asia; Europe"
"medline-37804398","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use","Conduct stage","Europe"
"medline-37811778","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Open science infrastructure","Data availability and re-use","Conduct stage","Unspecified"
"medline-37812334","Other","Researchers / Researcher Collaboration","Social sciences","Other","Type I/II error reduction","Conduct stage","Unspecified"
"medline-37829294","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Data sharing policy/guideline","Data availability and re-use","Conduct stage; Reporting stage","Global"
"medline-37832430","Researchers / Researcher Collaboration","Institution","Biomedical and health sciences","Centralised sharing platform","Computational reproducibility","Conduct stage","Unspecified"
"medline-37833767","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","PRISMA guidelines","Reporting quality","Reporting stage","Unspecified"
"medline-37841811","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Open science infrastructure","Computational reproducibility","Conduct stage","Unspecified"
"medline-37844077","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Computational reproducibility","Conduct stage","Unspecified"
"medline-37851984","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Open science infrastructure","Data availability and re-use; Computational reproducibility","Conduct stage; Reporting stage","Switzerland"
"medline-37856329","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data access policies / agreements","Data availability and re-use; Computational reproducibility","Conduct stage","Unspecified"
"medline-37860890","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","Other","Computational reproducibility","Reporting stage","Unspecified"
"medline-37869846","Other","Researchers / Researcher Collaboration","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use; Reporting quality","Conduct stage","Unspecified"
"medline-37873272","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Other","Computational reproducibility","Conduct stage","Unspecified"
"medline-37875663","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Computational reproducibility","Reporting stage","Unspecified"
"medline-37878066","Other","Other","Biomedical and health sciences","Other","Type I/II error reduction; Data availability and re-use","Conduct stage","Scotland; England"
"medline-37880619","Researchers / Researcher Collaboration","Government","Biomedical and health sciences","Other","Data availability and re-use","Conduct stage","Africa"
"medline-37881450","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Open science infrastructure","Computational reproducibility; Code / analysis availability and re-use","Conduct stage; Reporting stage","UK"
"medline-37892874","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Data availability and re-use; Computational reproducibility","Conduct stage","Global"
"medline-37899402","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"medline-37903810","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Computational reproducibility","Conduct stage","Unspecified"
"medline-37905558","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Experimental design","Other","Conduct stage","Unspecified"
"medline-37906633","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use; Other","Conduct stage","Unspecified"
"medline-37910557","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Biomedical and health sciences","Other","Other; Materials availability and re-use","Planning and design stage; Conduct stage","Unspecified"
"medline-37921334","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","CHEERS guidelines","Reporting quality","Planning and design stage; Conduct stage","UK; Australia"
"medline-37921564","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Other","Conduct stage","England; Wales"
"medline-37941395","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Open science infrastructure","Data availability and re-use","Conduct stage","Unspecified"
"medline-37950113","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Social sciences","Pre-registration","Type I/II error reduction; Type I/II error reduction; Reporting quality","Planning and design stage","Unspecified"
"medline-37955667","Researchers / Researcher Collaboration","Institution","Biomedical and health sciences","Other quality checks / feedback","Data availability and re-use","Conduct stage","Unspecified"
"medline-37971187","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Experimental design","Type I/II error reduction","Planning and design stage; Conduct stage","USA"
"medline-37984998","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Open science infrastructure","Data availability and re-use; Computational reproducibility","Conduct stage; Reporting stage","Unspecified"
"medline-37990943","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Type I/II error reduction","Conduct stage","United Kingdom"
"medline-37999216","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Other","Computational reproducibility","Planning and design stage; Conduct stage","Unspecified"
"medline-38000364","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Social sciences","Other quality checks / feedback","Computational reproducibility","Conduct stage","Unspecified"
"medline-38000767","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Type I/II error reduction","Conduct stage","Unspecified"
"medline-38005619","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Engineering and technology","Experimental design","Type I/II error reduction","Conduct stage","Unspecified"
"medline-38005885","Researchers / Researcher Collaboration","Government","Biomedical and health sciences","Open science infrastructure","Data availability and re-use; Computational reproducibility","Conduct stage; Reporting stage","Global"
"medline-38010062","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Type I/II error reduction","Conduct stage","United States"
"medline-38020598","Other","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Type I/II error reduction; Reporting quality; Publication bias","Conduct stage; Reporting stage","Global"
